"lx","ly","h","phi","Amplitude","Phase"
0.153,0.267,0.356,15,0.032916,0.8806
0.063,0.213,0.444,15,0.07058,1.467
0.076,0.282,0.346,15,0.1212,1.706
0.281,0.295,0.418,15,-0.00214099999999999,0.0425
0.21,0.223,0.495,15,0.003119,0.3059
0.274,0.236,0.469,15,-0.00217999999999999,0.0577999999999999
0.204,0.297,0.382,15,0.020646,0.516638
0.236,0.29,0.31,15,0.011287,0.3883
0.249,0.215,0.433,15,-0.00160000000000002,0.0444
0.172,0.241,0.438,15,0.018769,0.6668
0.127,0.231,0.49,15,0.0325037,1.1156
0.191,0.259,0.408,15,0.016946,0.3289
0.082,0.262,0.392,15,0.075456,1.66929469282041
0.255,0.272,0.449,15,-0.00209999999999999,0.0406999999999997
0.108,0.228,0.413,15,0.038696,0.7567
0.159,0.3,0.315,15,0.039122,0.862
0.121,0.254,0.459,15,0.03763,0.7375
0.294,0.244,0.336,15,-0.00341900000000001,0.0611999999999995
0.114,0.277,0.305,15,0.044386,0.8935
0.14,0.205,0.326,15,0.022986,0.5029
0.262,0.203,0.479,15,0.023996,0.2574
0.223,0.221,0.321,15,-0.00199000000000005,0.0166000000000004
0.217,0.264,0.367,15,0.00644699999999999,0.1203
0.05,0.292,0.403,15,0.24018,2.06931469282041
0.095,0.246,0.331,15,0.051325,1.1794
0.088,0.269,0.5,15,0.089012,1.61994
0.056,0.226,0.341,15,0.11183,1.704
0.101,0.285,0.464,15,0.065728,1.518687
0.178,0.251,0.485,15,0.019743,0.885
0.133,0.233,0.362,15,0.031134,0.7915
0.229,0.256,0.3,15,0.00830000000000009,0.1873
0.197,0.274,0.474,15,0.019598,0.5651
0.146,0.287,0.423,15,0.039898,0.91635
0.185,0.218,0.397,15,0.008125,0.217
0.287,0.208,0.377,15,-0.00241,0.0571999999999999
0.069,0.2,0.372,15,0.06538,1.0843
0.3,0.279,0.351,15,-0.004362,0.0419
0.242,0.249,0.428,15,-0.00260000000000005,0.0355000000000003
0.165,0.21,0.454,15,0.015407,1.1413
